RF,SVM,C4.5
98.89%,30.00%,100.00%
N/A,N/A,N/A
82.88%,30.00%,100.00%
100.00%,38.92%,100.00%
100.00%,30.00%,100.00%
37.78%,30.00%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
98.89%,30.00%,100.00%
N/A,N/A,N/A
100.00%,38.92%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
10.00%,30.00%,0.00%
46.67%,30.00%,100.00%
97.78%,36.48%,100.00%
100.00%,38.69%,100.00%
100.00%,38.92%,100.00%
100.00%,35.29%,100.00%
15.56%,30.00%,0.00%
10.00%,30.00%,0.00%
97.74%,30.00%,100.00%
N/A,N/A,N/A
97.78%,30.00%,100.00%
99.94%,30.00%,100.00%
83.33%,32.17%,100.00%
97.78%,30.00%,100.00%
100.00%,37.57%,100.00%
100.00%,37.57%,100.00%
100.00%,37.57%,100.00%
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
50.00%,30.00%,100.00%
100.00%,39.01%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
100.00%,30.00%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
100.00%,40.48%,100.00%
26.85%,30.00%,100.00%
98.89%,30.00%,100.00%
99.95%,30.00%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
86.67%,30.00%,100.00%
100.00%,40.28%,100.00%
100.00%,40.28%,100.00%
100.00%,40.28%,100.00%
100.00%,30.00%,100.00%
97.78%,30.00%,100.00%
51.11%,30.00%,100.00%
100.00%,39.01%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
98.89%,30.00%,100.00%
N/A,N/A,N/A
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
100.00%,30.00%,100.00%
N/A,N/A,N/A
74.44%,31.32%,100.00%
100.00%,40.28%,100.00%
36.67%,30.00%,100.00%
100.00%,39.36%,100.00%
100.00%,30.00%,100.00%
98.89%,30.00%,100.00%
27.78%,30.00%,100.00%
100.00%,40.28%,100.00%
94.44%,30.00%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
97.74%,30.00%,100.00%
N/A,N/A,N/A
N/A,N/A,N/A
97.78%,30.00%,100.00%
N/A,N/A,N/A
26.67%,30.00%,100.00%
94.44%,30.00%,100.00%
97.78%,30.00%,100.00%
94.44%,30.00%,100.00%
100.00%,39.36%,100.00%
97.78%,30.00%,100.00%
94.44%,30.00%,100.00%
100.00%,30.00%,100.00%
35.56%,30.00%,100.00%
100.00%,30.00%,100.00%
98.89%,30.00%,100.00%
97.78%,30.00%,100.00%
94.44%,30.00%,100.00%
97.78%,30.00%,100.00%
100.00%,30.00%,100.00%
91.11%,30.00%,100.00%
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
100.00%,30.00%,100.00%
97.78%,30.00%,100.00%
98.89%,30.00%,100.00%
N/A,N/A,N/A
26.67%,30.00%,100.00%
100.00%,30.00%,100.00%
24.63%,30.00%,100.00%
37.78%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,40.97%,100.00%
100.00%,40.48%,100.00%
100.00%,30.00%,100.00%
98.89%,30.00%,100.00%
100.00%,38.69%,100.00%
100.00%,40.17%,100.00%
98.89%,30.00%,100.00%
97.74%,30.00%,100.00%
N/A,N/A,N/A
100.00%,40.28%,100.00%
100.00%,39.01%,100.00%
97.78%,30.00%,100.00%
97.78%,30.00%,100.00%
100.00%,39.36%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
27.78%,30.00%,100.00%
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,30.00%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,42.44%,100.00%
100.00%,30.00%,100.00%
98.89%,30.00%,100.00%
100.00%,39.01%,100.00%
95.09%,30.00%,100.00%
100.00%,30.00%,100.00%
97.78%,30.00%,100.00%
98.89%,30.00%,100.00%
98.89%,30.00%,100.00%
97.78%,30.00%,100.00%
97.78%,30.00%,100.00%
97.78%,30.00%,100.00%
94.44%,30.00%,100.00%
97.78%,30.00%,100.00%
100.00%,39.01%,100.00%
26.67%,30.00%,100.00%
27.78%,30.00%,100.00%
94.44%,30.00%,100.00%
97.78%,30.00%,100.00%
98.89%,30.00%,100.00%
86.67%,30.00%,100.00%
100.00%,39.36%,100.00%
94.44%,30.00%,100.00%
100.00%,39.01%,100.00%
100.00%,39.36%,100.00%
98.89%,30.00%,100.00%
N/A,N/A,N/A
86.67%,30.00%,100.00%
93.33%,30.00%,100.00%
100.00%,39.01%,100.00%
100.00%,30.00%,100.00%
100.00%,35.82%,100.00%
97.78%,30.00%,100.00%
24.63%,30.00%,100.00%
