redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,check_sfh,count_domain_occurrences,page_rank_decimal,is_malicious
1,0,0,0,0,0.592178771,0,0.424242424,0.575757576,0,0,0,30,1,0,189,5.07,0
1,0,0,0,0,0,0,0.5,0.5,0,1,0,30,2,0.5,0,2.77,1
0,0,0,0,0,0,0,0.666666667,0.333333333,0,1,1,30,2,0,0,0,1
0,0,-88,0,0,0,0,0.35,0.65,0,0,0,30,1,0,221,5.14,0
1,0,0,0,0,0,0,0.333333333,0.666666667,0,1,2,5,1,0,80,5.47,0
0,0,-145,0,1,0,0,0,0,0,1,0,30,1,0,0,5.25,0
1,0,0,0,0,0,0,0.294117647,0.705882353,1,1,1,20,2,0,0,4.63,0
0,0,-316,0,0,0.416666667,0,0.622222222,0.377777778,1,1,1,30,3,0,15,5.36,0
0,0,-266,0,0,0,0,0.583333333,0.416666667,0,0,0,30,1,0.5,37,4.46,0
1,0,0,0,0,0,0,0.25,0.75,1,1,0,30,3,0,4,8.17,1
1,0,-284,0,0,0,0,0.615384615,0.384615385,1,1,1,30,5,0,7,4.94,0
0,0,-318,0,0,0.25,0,0.266666667,0.733333333,1,1,5,30,4,0.5,141,5.03,0
0,0,-32,0,0,0.976744186,0,0.361111111,0.638888889,0,1,0,30,2,0,127,4.91,0
0,0,0,0,0,0,0,0.689922481,0.310077519,1,1,0,30,1,0,390,5.1,0
1,0,0,0,0,0,0,0.681818182,0.318181818,1,1,1,30,2,0,0,3.4,0
0,0,0,0,0,0.068181818,0,0.307692308,0.692307692,0,0,0,30,1,0,134,2.89,0
1,0,-83,1,0,0,0,0.8,0.2,0,1,0,30,1,0.5,155,4.78,0
0,0,-390,0,0,0,0,0.434782609,0.565217391,1,1,1,30,1,0,138,5.23,0
1,0,-60,0,0,0,0,0.333333333,0.666666667,1,1,0,30,2,1,224,4.3,0
0,0,-163,0,0,0.066666667,0,0.666666667,0.333333333,0,1,0,29,3,0,29,3.99,0
3,0,0,0,0,0,0,0.472222222,0.527777778,0,1,5,30,2,0,7,3.21,1
1,0,-47,0,0,0,0,0.625,0.375,0,1,0,30,1,0.5,339,4.5,0
0,0,-343,0,0,0,0,0.5,0.5,0,0,1,30,1,0,1,5.05,0
0,0,-66,0,0,0,0,0.411764706,0.588235294,0,1,0,30,1,0,13,3.63,0
0,0,-85,0,0,0,0,0.333333333,0.666666667,0,1,1,30,1,0.5,77,5.28,0
0,0,-176,0,0,0.16091954,0,0.428571429,0.571428571,1,0,1,30,1,0,10,5.33,0
2,0,0,0,0,0.232142857,0,0.6,0.4,1,0,0,29,1,0.5,10,4.61,0
0,0,0,0,0,0,0,0.75,0.25,0,1,0,29,1,0,36,5.07,0
0,0,0,0,0,0.058823529,0,0.5,0.5,0,0,0,30,1,0,6,5.04,0
0,0,0,0,0,0.916666667,0,0.75,0.25,0,1,1,30,1,0,12,0,1
3,0,-294,0,0,0.827586207,0,0.782608696,0.217391304,1,1,1,28,3,0,7,5.12,0
1,0,0,0,0,0,0,0.764705882,0.235294118,0,0,0,30,1,0,8,4.21,0
1,0,-40,0,0,0,0,0.357142857,0.642857143,1,1,0,30,1,0.5,13,5.72,0
0,0,-51,0,0,0,0,1,0,0,1,0,30,1,0,0,4.88,0
2,0,0,0,0,0,0,0.240506329,0.759493671,1,1,1,30,1,0.5,0,4.35,1
0,0,-58,0,0,0.213675214,0,0.4,0.6,1,1,3,30,1,0,219,5.01,0
0,0,-71,0,0,0.370967742,0,0.25,0.75,0,0,0,30,1,0.5,60,5.57,0
0,0,-62,0,0,0.263565891,0,0.263157895,0.736842105,0,1,2,30,2,0,71,5.33,0
0,0,-116,0,1,0,0,1,0,1,1,0,30,4,0,0,4.04,0
0,0,0,0,1,0,0,0,0,0,0,0,29,1,0,0,4.8,0
3,0,0,0,0,0,0,0.333333333,0.666666667,1,1,1,30,2,0,0,3.25,0
1,0,-286,0,0,0.243589744,0,0.263157895,0.736842105,1,1,3,29,2,0,0,5.25,0
0,0,-50,0,0,0,0,0.255319149,0.744680851,1,0,5,29,1,0,369,3.98,0
3,0,0,0,0,0,0,0.5,0.5,1,1,2,29,2,0,3,6.6,0
0,0,-283,0,0,0,0,0.454545455,0.545454545,1,1,0,28,3,0,129,4.88,0
3,0,-198,0,1,0,0,0,1,0,1,0,30,1,0,0,5.19,0
1,0,-34,0,0,0,0.066666667,0.333333333,0.6,0,1,4,19,2,0,3,5.19,0
