redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,mouseover_changes,right_click_disabled,popup_window_has_text_field,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,TXT_record,check_sfh,count_domain_occurrences,domain_registration_length,abnormal_url,age_of_domain,is_malicious,page_rank_decimal
1,0,0,0,0,0.5921787709497207,0,0.4242424242424242,0.5757575757575758,0,0,0,0,0,0,30,1,0,0,189,0,0,-1,0,5.07
1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,30,2,0,0.5,0,0,0,-1,1,2.77
0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,1,1,30,2,0,0,0,0,0,-1,1,
0,0,-88,0,0,0,0,0.35,0.65,0,0,0,0,0,0,30,1,0,0,221,0,0,-1,0,5.14
1,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,2,5,1,0,0,80,0,0,-1,0,5.47
0,0,-145,0,1,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,-1,0,5.25
1,0,0,0,0,0,0,0.2941176470588235,0.7058823529411765,0,0,0,1,1,1,20,2,0,0,0,0,0,-1,0,4.63
0,0,-316,0,0,0.4166666666666667,0,0.6222222222222222,0.3777777777777777,0,0,0,1,1,1,30,3,0,0,15,0,0,-1,0,5.36
0,0,-266,0,0,0,0,0.5833333333333334,0.4166666666666667,0,0,0,0,0,0,30,1,0,0.5,37,0,0,-1,0,4.46
1,0,0,0,0,0,0,0.25,0.75,0,0,0,1,1,0,30,3,0,0,4,0,0,-1,1,8.17
1,0,-284,0,0,0,0,0.6153846153846154,0.3846153846153846,0,0,0,1,1,1,30,5,0,0,7,0,0,-1,0,4.94
0,0,-318,0,0,0.25,0,0.2666666666666666,0.7333333333333333,0,0,0,1,1,5,30,4,0,0.5,141,0,0,-1,0,5.03
